PR094  Photo-prod          07/09 Arndt  06/19/14
! 1275.000  11  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 1     7.96846379E-01  1.17715         0.10622       
 2     7.6559551E-01   1.19906         0.09489       
 3     7.34322513E-01  0.99729         0.07436       
 4     7.03146548E-01  0.9548          0.06917       
 5     6.71849879E-01  0.90795         0.06495       
 6     6.40645912E-01  0.79603         0.05699       
 7     6.09315151E-01  0.8343          0.05942       
 8     5.78142481E-01  0.78008         0.05541       
 9     5.46832807E-01  0.70094         0.05007       
 10    5.15636372E-01  0.67303         0.04869       
 11    4.84351611E-01  0.67389         0.04935       
! 1325.000  11  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 12    7.96846379E-01  1.15936         0.10483       
 13    7.6559551E-01   1.36229         0.10657       
 14    7.34322513E-01  1.11529         0.08287       
 15    7.03146548E-01  1.05633         0.07671       
 16    6.71849879E-01  0.86702         0.06252       
 17    6.40645912E-01  0.74308         0.05354       
 18    6.09315151E-01  0.76723         0.05512       
 19    5.78142481E-01  0.73871         0.05305       
 20    5.46832807E-01  0.5986          0.0434        
 21    5.15636372E-01  0.58863         0.04302       
 22    4.84351611E-01  0.5227          0.0392        
! 1375.000  13  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 23    7.96846379E-01  1.37011         0.12817       
 24    7.6559551E-01   1.42926         0.11684       
 25    7.34322513E-01  1.16296         0.09017       
 26    7.03146548E-01  0.96559         0.07298       
 27    6.71849879E-01  0.81916         0.06138       
 28    6.40645912E-01  0.74218         0.05551       
 29    6.09315151E-01  0.52537         0.03971       
 30    5.78142481E-01  0.51333         0.03875       
 31    5.46832807E-01  0.47092         0.03578       
 32    5.15636372E-01  0.41454         0.03234       
 33    4.84351611E-01  0.36559         0.02998       
 34    4.53057199E-01  0.35146         0.02976       
 35    4.21827206E-01  0.38039         0.0331        
! 1425.000  13  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 36    7.96846379E-01  1.65055         0.13623       
 37    7.6559551E-01   1.74775         0.13217       
 38    7.34322513E-01  1.38583         0.1017        
 39    7.03146548E-01  1.17101         0.0845        
