1.275	 & 0.025 & 	0.484375	 & 0.015625	 & 0.673891	 & 0.0197419	 & 0.0452323 \\ 
1.275	 & 0.025 & 	0.515625	 & 0.015625	 & 0.673026	 & 0.0181679	 & 0.0451741 \\ 
1.275	 & 0.025 & 	0.546875	 & 0.015625	 & 0.700944	 & 0.0171287	 & 0.047048 \\ 
1.275	 & 0.025 & 	0.578125	 & 0.015625	 & 0.780085	 & 0.0181191	 & 0.0523601 \\ 
1.275	 & 0.025 & 	0.609375	 & 0.015625	 & 0.834301	 & 0.0198798	 & 0.0559991 \\ 
1.275	 & 0.025 & 	0.640625	 & 0.015625	 & 0.796032	 & 0.0198173	 & 0.0534304 \\ 
1.275	 & 0.025 & 	0.671875	 & 0.015625	 & 0.907953	 & 0.0224482	 & 0.0609427 \\ 
1.275	 & 0.025 & 	0.703125	 & 0.015625	 & 0.954801	 & 0.0260267	 & 0.0640871 \\ 
1.275	 & 0.025 & 	0.734375	 & 0.015625	 & 0.99729	 & 0.0323912	 & 0.0669391 \\ 
1.275	 & 0.025 & 	0.765625	 & 0.015625	 & 1.19906	 & 0.0502756	 & 0.0804824 \\ 
1.275	 & 0.025 & 	0.796875	 & 0.015625	 & 1.17715	 & 0.0709938	 & 0.0790115 \\ 
1.275	 & 0.025 & 	0.828125	 & 0.015625	 & 0.362334	 & 0.0507609	 & 0.0243202 \\ 
1.325	 & 0.025 & 	0.484375	 & 0.015625	 & 0.5227	 & 0.0170949	 & 0.0352763 \\ 
1.325	 & 0.025 & 	0.515625	 & 0.015625	 & 0.588626	 & 0.0165172	 & 0.0397255 \\ 
1.325	 & 0.025 & 	0.546875	 & 0.015625	 & 0.598595	 & 0.0158646	 & 0.0403983 \\ 
1.325	 & 0.025 & 	0.578125	 & 0.015625	 & 0.738712	 & 0.0181357	 & 0.0498546 \\ 
1.325	 & 0.025 & 	0.609375	 & 0.015625	 & 0.767226	 & 0.0189093	 & 0.051779 \\ 
1.325	 & 0.025 & 	0.640625	 & 0.015625	 & 0.743081	 & 0.0187581	 & 0.0501495 \\ 
1.325	 & 0.025 & 	0.671875	 & 0.015625	 & 0.867017	 & 0.0220086	 & 0.0585137 \\ 
1.325	 & 0.025 & 	0.703125	 & 0.015625	 & 1.05633	 & 0.0283207	 & 0.0712899 \\ 
1.325	 & 0.025 & 	0.734375	 & 0.015625	 & 1.11529	 & 0.0346604	 & 0.0752694 \\ 
1.325	 & 0.025 & 	0.765625	 & 0.015625	 & 1.36229	 & 0.0538949	 & 0.0919388 \\ 
1.325	 & 0.025 & 	0.796875	 & 0.015625	 & 1.15936	 & 0.0697721	 & 0.0782433 \\ 
1.325	 & 0.025 & 	0.828125	 & 0.015625	 & 0.662827	 & 0.0849646	 & 0.0447332 \\ 
1.375	 & 0.025 & 	0.421875	 & 0.015625	 & 0.380386	 & 0.0207232	 & 0.0258133 \\ 
1.375	 & 0.025 & 	0.453125	 & 0.015625	 & 0.351461	 & 0.0177913	 & 0.0238505 \\ 
1.375	 & 0.025 & 	0.484375	 & 0.015625	 & 0.365593	 & 0.0168338	 & 0.0248095 \\ 
1.375	 & 0.025 & 	0.515625	 & 0.015625	 & 0.41454	 & 0.0159626	 & 0.028131 \\ 
1.375	 & 0.025 & 	0.546875	 & 0.015625	 & 0.47092	 & 0.0160935	 & 0.0319571 \\ 
1.375	 & 0.025 & 	0.578125	 & 0.015625	 & 0.513333	 & 0.0169807	 & 0.0348352 \\ 
1.375	 & 0.025 & 	0.609375	 & 0.015625	 & 0.525371	 & 0.0174937	 & 0.0356521 \\ 
1.375	 & 0.025 & 	0.640625	 & 0.015625	 & 0.742176	 & 0.0233379	 & 0.0503647 \\ 
1.375	 & 0.025 & 	0.671875	 & 0.015625	 & 0.819163	 & 0.0260331	 & 0.0555891 \\ 
1.375	 & 0.025 & 	0.703125	 & 0.015625	 & 0.965586	 & 0.0321381	 & 0.0655255 \\ 
1.375	 & 0.025 & 	0.734375	 & 0.015625	 & 1.16296	 & 0.0436071	 & 0.0789197 \\ 
1.375	 & 0.025 & 	0.765625	 & 0.015625	 & 1.42926	 & 0.0651468	 & 0.0969911 \\ 
1.375	 & 0.025 & 	0.796875	 & 0.015625	 & 1.37011	 & 0.0882144	 & 0.0929771 \\ 
1.375	 & 0.025 & 	0.828125	 & 0.015625	 & 0.515535	 & 0.0819635	 & 0.0349847 \\ 
1.425	 & 0.025 & 	0.421875	 & 0.015625	 & 0.268373	 & 0.0128728	 & 0.0183132 \\ 
1.425	 & 0.025 & 	0.453125	 & 0.015625	 & 0.315414	 & 0.0127806	 & 0.0215232 \\ 
1.425	 & 0.025 & 	0.484375	 & 0.015625	 & 0.316198	 & 0.0110859	 & 0.0215767 \\ 
1.425	 & 0.025 & 	0.515625	 & 0.015625	 & 0.343317	 & 0.0106296	 & 0.0234273 \\ 
1.425	 & 0.025 & 	0.546875	 & 0.015625	 & 0.412689	 & 0.0112162	 & 0.0281611 \\ 
1.425	 & 0.025 & 	0.578125	 & 0.015625	 & 0.472953	 & 0.0120864	 & 0.0322734 \\ 
1.425	 & 0.025 & 	0.609375	 & 0.015625	 & 0.586762	 & 0.014323	 & 0.0400394 \\ 
1.425	 & 0.025 & 	0.640625	 & 0.015625	 & 0.714133	 & 0.016997	 & 0.048731 \\ 
1.425	 & 0.025 & 	0.671875	 & 0.015625	 & 0.847092	 & 0.0199913	 & 0.0578038 \\ 
1.425	 & 0.025 & 	0.703125	 & 0.015625	 & 1.17101	 & 0.0274862	 & 0.079907 \\ 
1.425	 & 0.025 & 	0.734375	 & 0.015625	 & 1.38583	 & 0.037427	 & 0.094566 \\ 
1.425	 & 0.025 & 	0.765625	 & 0.015625	 & 1.74775	 & 0.0569746	 & 0.119263 \\ 
1.425	 & 0.025 & 	0.796875	 & 0.015625	 & 1.65055	 & 0.0766373	 & 0.11263 \\ 
1.425	 & 0.025 & 	0.828125	 & 0.015625	 & 1.20002	 & 0.0969824	 & 0.081887 \\ 
1.475	 & 0.025 & 	0.421875	 & 0.015625	 & 0.212553	 & 0.0107649	 & 0.0145853 \\ 
1.475	 & 0.025 & 	0.453125	 & 0.015625	 & 0.187879	 & 0.00869817	 & 0.0128922 \\ 
1.475	 & 0.025 & 	0.484375	 & 0.015625	 & 0.206542	 & 0.00831113	 & 0.0141728 \\ 
1.475	 & 0.025 & 	0.515625	 & 0.015625	 & 0.273845	 & 0.00913246	 & 0.0187911 \\ 
1.475	 & 0.025 & 	0.546875	 & 0.015625	 & 0.336221	 & 0.00969344	 & 0.0230713 \\ 
1.475	 & 0.025 & 	0.578125	 & 0.015625	 & 0.408821	 & 0.0108199	 & 0.0280532 \\ 
1.475	 & 0.025 & 	0.609375	 & 0.015625	 & 0.530308	 & 0.013083	 & 0.0363895 \\ 
1.475	 & 0.025 & 	0.640625	 & 0.015625	 & 0.642263	 & 0.0157471	 & 0.0440719 \\ 
1.475	 & 0.025 & 	0.671875	 & 0.015625	 & 0.873197	 & 0.0203301	 & 0.0599184 \\ 
1.475	 & 0.025 & 	0.703125	 & 0.015625	 & 1.01308	 & 0.0240816	 & 0.0695173 \\ 
1.475	 & 0.025 & 	0.734375	 & 0.015625	 & 1.28385	 & 0.0345974	 & 0.0880976 \\ 
1.475	 & 0.025 & 	0.765625	 & 0.015625	 & 1.61567	 & 0.0513416	 & 0.110867 \\ 
1.475	 & 0.025 & 	0.796875	 & 0.015625	 & 1.88777	 & 0.0901102	 & 0.129538 \\ 
1.525	 & 0.025 & 	0.390625	 & 0.015625	 & 0.194136	 & 0.0110454	 & 0.0133965 \\ 
1.525	 & 0.025 & 	0.421875	 & 0.015625	 & 0.15661	 & 0.0089078	 & 0.010807 \\ 
1.525	 & 0.025 & 	0.453125	 & 0.015625	 & 0.162011	 & 0.008231	 & 0.0111797 \\ 
1.525	 & 0.025 & 	0.484375	 & 0.015625	 & 0.163791	 & 0.00748478	 & 0.0113025 \\ 
1.525	 & 0.025 & 	0.515625	 & 0.015625	 & 0.219524	 & 0.00823636	 & 0.0151484 \\ 
1.525	 & 0.025 & 	0.546875	 & 0.015625	 & 0.285617	 & 0.00925407	 & 0.0197092 \\ 
1.525	 & 0.025 & 	0.578125	 & 0.015625	 & 0.409346	 & 0.0112998	 & 0.0282472 \\ 
1.525	 & 0.025 & 	0.609375	 & 0.015625	 & 0.556451	 & 0.014274	 & 0.0383984 \\ 
1.525	 & 0.025 & 	0.640625	 & 0.015625	 & 0.682503	 & 0.0170462	 & 0.0470967 \\ 
1.525	 & 0.025 & 	0.671875	 & 0.015625	 & 0.817356	 & 0.0203826	 & 0.0564023 \\ 
1.525	 & 0.025 & 	0.703125	 & 0.015625	 & 1.06554	 & 0.0262172	 & 0.0735282 \\ 
1.525	 & 0.025 & 	0.734375	 & 0.015625	 & 1.35609	 & 0.0367011	 & 0.093578 \\ 
1.525	 & 0.025 & 	0.765625	 & 0.015625	 & 1.68609	 & 0.0541126	 & 0.11635 \\ 
1.525	 & 0.025 & 	0.796875	 & 0.015625	 & 1.73347	 & 0.0787254	 & 0.119619 \\ 
1.525	 & 0.025 & 	0.828125	 & 0.015625	 & 0.694612	 & 0.0758054	 & 0.0479323 \\ 
1.575	 & 0.025 & 	0.390625	 & 0.015625	 & 0.136539	 & 0.00994496	 & 0.00947536 \\ 
1.575	 & 0.025 & 	0.421875	 & 0.015625	 & 0.0967771	 & 0.00736062	 & 0.00671599 \\ 
1.575	 & 0.025 & 	0.453125	 & 0.015625	 & 0.104249	 & 0.00679368	 & 0.0072345 \\ 
1.575	 & 0.025 & 	0.484375	 & 0.015625	 & 0.115277	 & 0.00668515	 & 0.0079998 \\ 
1.575	 & 0.025 & 	0.515625	 & 0.015625	 & 0.165025	 & 0.00773108	 & 0.0114522 \\ 
1.575	 & 0.025 & 	0.546875	 & 0.015625	 & 0.222173	 & 0.00879238	 & 0.015418 \\ 
1.575	 & 0.025 & 	0.578125	 & 0.015625	 & 0.307655	 & 0.0106112	 & 0.0213502 \\ 
1.575	 & 0.025 & 	0.609375	 & 0.015625	 & 0.433572	 & 0.013586	 & 0.0300884 \\ 
1.575	 & 0.025 & 	0.640625	 & 0.015625	 & 0.548582	 & 0.0169667	 & 0.0380696 \\ 
1.575	 & 0.025 & 	0.671875	 & 0.015625	 & 0.712419	 & 0.0211594	 & 0.0494394 \\ 
1.575	 & 0.025 & 	0.703125	 & 0.015625	 & 0.904046	 & 0.0268399	 & 0.0627376 \\ 
