1.275	 & 0.025 & 	0.484375	 & 0.015625	 & 0.673891	 & 0.0197419	 & 0.0433512 \\ 
1.275	 & 0.025 & 	0.515625	 & 0.015625	 & 0.673026	 & 0.0181679	 & 0.0432955 \\ 
1.275	 & 0.025 & 	0.546875	 & 0.015625	 & 0.700944	 & 0.0171287	 & 0.0450915 \\ 
1.275	 & 0.025 & 	0.578125	 & 0.015625	 & 0.780085	 & 0.0181191	 & 0.0501826 \\ 
1.275	 & 0.025 & 	0.609375	 & 0.015625	 & 0.834301	 & 0.0198798	 & 0.0536703 \\ 
1.275	 & 0.025 & 	0.640625	 & 0.015625	 & 0.796032	 & 0.0198173	 & 0.0512085 \\ 
1.275	 & 0.025 & 	0.671875	 & 0.015625	 & 0.907953	 & 0.0224482	 & 0.0584083 \\ 
1.275	 & 0.025 & 	0.703125	 & 0.015625	 & 0.954801	 & 0.0260267	 & 0.061422 \\ 
1.275	 & 0.025 & 	0.734375	 & 0.015625	 & 0.99729	 & 0.0323912	 & 0.0641553 \\ 
1.275	 & 0.025 & 	0.765625	 & 0.015625	 & 1.19906	 & 0.0502756	 & 0.0771354 \\ 
1.275	 & 0.025 & 	0.796875	 & 0.015625	 & 1.17715	 & 0.0709938	 & 0.0757257 \\ 
1.275	 & 0.025 & 	0.828125	 & 0.015625	 & 0.362334	 & 0.0507609	 & 0.0233088 \\ 
1.325	 & 0.025 & 	0.484375	 & 0.015625	 & 0.5227	 & 0.0170949	 & 0.0338256 \\ 
1.325	 & 0.025 & 	0.515625	 & 0.015625	 & 0.588626	 & 0.0165172	 & 0.0380918 \\ 
1.325	 & 0.025 & 	0.546875	 & 0.015625	 & 0.598595	 & 0.0158646	 & 0.0387369 \\ 
1.325	 & 0.025 & 	0.578125	 & 0.015625	 & 0.738712	 & 0.0181357	 & 0.0478044 \\ 
1.325	 & 0.025 & 	0.609375	 & 0.015625	 & 0.767226	 & 0.0189093	 & 0.0496496 \\ 
1.325	 & 0.025 & 	0.640625	 & 0.015625	 & 0.743081	 & 0.0187581	 & 0.0480871 \\ 
1.325	 & 0.025 & 	0.671875	 & 0.015625	 & 0.867017	 & 0.0220086	 & 0.0561074 \\ 
1.325	 & 0.025 & 	0.703125	 & 0.015625	 & 1.05633	 & 0.0283207	 & 0.0683581 \\ 
1.325	 & 0.025 & 	0.734375	 & 0.015625	 & 1.11529	 & 0.0346604	 & 0.072174 \\ 
1.325	 & 0.025 & 	0.765625	 & 0.015625	 & 1.36229	 & 0.0538949	 & 0.0881578 \\ 
1.325	 & 0.025 & 	0.796875	 & 0.015625	 & 1.15936	 & 0.0697721	 & 0.0750256 \\ 
1.325	 & 0.025 & 	0.828125	 & 0.015625	 & 0.662827	 & 0.0849646	 & 0.0428936 \\ 
1.375	 & 0.025 & 	0.421875	 & 0.015625	 & 0.380386	 & 0.0207232	 & 0.0247636 \\ 
1.375	 & 0.025 & 	0.453125	 & 0.015625	 & 0.351461	 & 0.0177913	 & 0.0228806 \\ 
1.375	 & 0.025 & 	0.484375	 & 0.015625	 & 0.365593	 & 0.0168338	 & 0.0238006 \\ 
1.375	 & 0.025 & 	0.515625	 & 0.015625	 & 0.41454	 & 0.0159626	 & 0.0269871 \\ 
1.375	 & 0.025 & 	0.546875	 & 0.015625	 & 0.47092	 & 0.0160935	 & 0.0306575 \\ 
1.375	 & 0.025 & 	0.578125	 & 0.015625	 & 0.513333	 & 0.0169807	 & 0.0334186 \\ 
1.375	 & 0.025 & 	0.609375	 & 0.015625	 & 0.525371	 & 0.0174937	 & 0.0342023 \\ 
1.375	 & 0.025 & 	0.640625	 & 0.015625	 & 0.742176	 & 0.0233379	 & 0.0483167 \\ 
1.375	 & 0.025 & 	0.671875	 & 0.015625	 & 0.819163	 & 0.0260331	 & 0.0533286 \\ 
1.375	 & 0.025 & 	0.703125	 & 0.015625	 & 0.965586	 & 0.0321381	 & 0.0628609 \\ 
1.375	 & 0.025 & 	0.734375	 & 0.015625	 & 1.16296	 & 0.0436071	 & 0.0757105 \\ 
1.375	 & 0.025 & 	0.765625	 & 0.015625	 & 1.42926	 & 0.0651468	 & 0.0930469 \\ 
1.375	 & 0.025 & 	0.796875	 & 0.015625	 & 1.37011	 & 0.0882144	 & 0.0891962 \\ 
1.375	 & 0.025 & 	0.828125	 & 0.015625	 & 0.515535	 & 0.0819635	 & 0.033562 \\ 
1.425	 & 0.025 & 	0.421875	 & 0.015625	 & 0.268373	 & 0.0128728	 & 0.0175769 \\ 
1.425	 & 0.025 & 	0.453125	 & 0.015625	 & 0.315414	 & 0.0127806	 & 0.0206578 \\ 
1.425	 & 0.025 & 	0.484375	 & 0.015625	 & 0.316198	 & 0.0110859	 & 0.0207092 \\ 
1.425	 & 0.025 & 	0.515625	 & 0.015625	 & 0.343317	 & 0.0106296	 & 0.0224853 \\ 
1.425	 & 0.025 & 	0.546875	 & 0.015625	 & 0.412689	 & 0.0112162	 & 0.0270288 \\ 
1.425	 & 0.025 & 	0.578125	 & 0.015625	 & 0.472953	 & 0.0120864	 & 0.0309757 \\ 
1.425	 & 0.025 & 	0.609375	 & 0.015625	 & 0.586762	 & 0.014323	 & 0.0384295 \\ 
1.425	 & 0.025 & 	0.640625	 & 0.015625	 & 0.714133	 & 0.016997	 & 0.0467716 \\ 
1.425	 & 0.025 & 	0.671875	 & 0.015625	 & 0.847092	 & 0.0199913	 & 0.0554797 \\ 
1.425	 & 0.025 & 	0.703125	 & 0.015625	 & 1.17101	 & 0.0274862	 & 0.0766942 \\ 
1.425	 & 0.025 & 	0.734375	 & 0.015625	 & 1.38583	 & 0.037427	 & 0.0907637 \\ 
1.425	 & 0.025 & 	0.765625	 & 0.015625	 & 1.74775	 & 0.0569746	 & 0.114468 \\ 
1.425	 & 0.025 & 	0.796875	 & 0.015625	 & 1.65055	 & 0.0766373	 & 0.108102 \\ 
1.425	 & 0.025 & 	0.828125	 & 0.015625	 & 1.20002	 & 0.0969824	 & 0.0785945 \\ 
1.475	 & 0.025 & 	0.421875	 & 0.015625	 & 0.212553	 & 0.0107649	 & 0.0140055 \\ 
1.475	 & 0.025 & 	0.453125	 & 0.015625	 & 0.187879	 & 0.00869817	 & 0.0123797 \\ 
1.475	 & 0.025 & 	0.484375	 & 0.015625	 & 0.206542	 & 0.00831113	 & 0.0136094 \\ 
1.475	 & 0.025 & 	0.515625	 & 0.015625	 & 0.273845	 & 0.00913246	 & 0.0180442 \\ 
1.475	 & 0.025 & 	0.546875	 & 0.015625	 & 0.336221	 & 0.00969344	 & 0.0221542 \\ 
1.475	 & 0.025 & 	0.578125	 & 0.015625	 & 0.408821	 & 0.0108199	 & 0.026938 \\ 
1.475	 & 0.025 & 	0.609375	 & 0.015625	 & 0.530308	 & 0.013083	 & 0.034943 \\ 
1.475	 & 0.025 & 	0.640625	 & 0.015625	 & 0.642263	 & 0.0157471	 & 0.0423199 \\ 
1.475	 & 0.025 & 	0.671875	 & 0.015625	 & 0.873197	 & 0.0203301	 & 0.0575365 \\ 
1.475	 & 0.025 & 	0.703125	 & 0.015625	 & 1.01308	 & 0.0240816	 & 0.0667538 \\ 
1.475	 & 0.025 & 	0.734375	 & 0.015625	 & 1.28385	 & 0.0345974	 & 0.0845955 \\ 
1.475	 & 0.025 & 	0.765625	 & 0.015625	 & 1.61567	 & 0.0513416	 & 0.10646 \\ 
1.475	 & 0.025 & 	0.796875	 & 0.015625	 & 1.88777	 & 0.0901102	 & 0.124388 \\ 
1.525	 & 0.025 & 	0.390625	 & 0.015625	 & 0.194136	 & 0.0110454	 & 0.0128701 \\ 
1.525	 & 0.025 & 	0.421875	 & 0.015625	 & 0.15661	 & 0.0089078	 & 0.0103823 \\ 
1.525	 & 0.025 & 	0.453125	 & 0.015625	 & 0.162011	 & 0.008231	 & 0.0107403 \\ 
1.525	 & 0.025 & 	0.484375	 & 0.015625	 & 0.163791	 & 0.00748478	 & 0.0108584 \\ 
1.525	 & 0.025 & 	0.515625	 & 0.015625	 & 0.219524	 & 0.00823636	 & 0.0145531 \\ 
1.525	 & 0.025 & 	0.546875	 & 0.015625	 & 0.285617	 & 0.00925407	 & 0.0189347 \\ 
1.525	 & 0.025 & 	0.578125	 & 0.015625	 & 0.409346	 & 0.0112998	 & 0.0271371 \\ 
1.525	 & 0.025 & 	0.609375	 & 0.015625	 & 0.556451	 & 0.014274	 & 0.0368893 \\ 
