1.275	 & 0.025 & 	0.484375	 & 0.015625	 & 0.673891	 & 0.0197419	 & 0.0452323 \\  
1.275	 & 0.025 & 	0.515625	 & 0.015625	 & 0.673026	 & 0.0181679	 & 0.0451741 \\  
1.275	 & 0.025 & 	0.546875	 & 0.015625	 & 0.700944	 & 0.0171287	 & 0.047048 \\  
1.275	 & 0.025 & 	0.578125	 & 0.015625	 & 0.780085	 & 0.0181191	 & 0.0523601 \\  
1.275	 & 0.025 & 	0.609375	 & 0.015625	 & 0.834301	 & 0.0198798	 & 0.0559991 \\  
1.275	 & 0.025 & 	0.640625	 & 0.015625	 & 0.796032	 & 0.0198173	 & 0.0534304 \\  
1.275	 & 0.025 & 	0.671875	 & 0.015625	 & 0.907953	 & 0.0224482	 & 0.0609427 \\  
1.275	 & 0.025 & 	0.703125	 & 0.015625	 & 0.954801	 & 0.0260267	 & 0.0640871 \\  
1.275	 & 0.025 & 	0.734375	 & 0.015625	 & 0.99729	 & 0.0323912	 & 0.0669391 \\  
1.275	 & 0.025 & 	0.765625	 & 0.015625	 & 1.19906	 & 0.0502756	 & 0.0804824 \\  
1.275	 & 0.025 & 	0.796875	 & 0.015625	 & 1.17715	 & 0.0709938	 & 0.0790115 \\  
1.275	 & 0.025 & 	0.828125	 & 0.015625	 & 0.362334	 & 0.0507609	 & 0.0243202 \\  
1.325	 & 0.025 & 	0.484375	 & 0.015625	 & 0.5227	 & 0.0170949	 & 0.0352763 \\  
1.325	 & 0.025 & 	0.515625	 & 0.015625	 & 0.588626	 & 0.0165172	 & 0.0397255 \\  
1.325	 & 0.025 & 	0.546875	 & 0.015625	 & 0.598595	 & 0.0158646	 & 0.0403983 \\  
1.325	 & 0.025 & 	0.578125	 & 0.015625	 & 0.738712	 & 0.0181357	 & 0.0498546 \\  
1.325	 & 0.025 & 	0.609375	 & 0.015625	 & 0.767226	 & 0.0189093	 & 0.051779 \\  
1.325	 & 0.025 & 	0.640625	 & 0.015625	 & 0.743081	 & 0.0187581	 & 0.0501495 \\  
1.325	 & 0.025 & 	0.671875	 & 0.015625	 & 0.867017	 & 0.0220086	 & 0.0585137 \\  
1.325	 & 0.025 & 	0.703125	 & 0.015625	 & 1.05633	 & 0.0283207	 & 0.0712899 \\  
1.325	 & 0.025 & 	0.734375	 & 0.015625	 & 1.11529	 & 0.0346604	 & 0.0752694 \\  
1.325	 & 0.025 & 	0.765625	 & 0.015625	 & 1.36229	 & 0.0538949	 & 0.0919388 \\  
1.325	 & 0.025 & 	0.796875	 & 0.015625	 & 1.15936	 & 0.0697721	 & 0.0782433 \\  
1.325	 & 0.025 & 	0.828125	 & 0.015625	 & 0.662827	 & 0.0849646	 & 0.0447332 \\
