 1325.000  11  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 1.15936  0.10483  40.04 1.36229  0.10657  42.75 1.11529  0.08287
  45.32 1.05633  0.07671  47.79 0.86702  0.06252  50.16 0.74308  0.05354
  52.46 0.76723  0.05512  54.68 0.73871  0.05305  56.85 0.59860  0.04340
  58.96 0.58863  0.04302  61.03 0.52270  0.03920   0.00 0.00000  0.00000
 1375.000  13  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 1.37011  0.12817  40.04 1.42926  0.11684  42.75 1.16296  0.09017
  45.32 0.96559  0.07298  47.79 0.81916  0.06138  50.16 0.74218  0.05551
  52.46 0.52537  0.03971  54.68 0.51333  0.03875  56.85 0.47092  0.03578
  58.96 0.41454  0.03234  61.03 0.36559  0.02998  63.06 0.35146  0.02976
  65.05 0.38039  0.03310   0.00 0.00000  0.00000   0.00 0.00000  0.00000
 1425.000  13  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 1.65055  0.13623  40.04 1.74775  0.13217  42.75 1.38583  0.10170
  45.32 1.17101  0.08450  47.79 0.84709  0.06116  50.16 0.71413  0.05161
  52.46 0.58676  0.04252  54.68 0.47295  0.03446  56.85 0.41269  0.03031
  58.96 0.34332  0.02573  61.03 0.31620  0.02426  63.06 0.31541  0.02503
  65.05 0.26837  0.02239   0.00 0.00000  0.00000   0.00 0.00000  0.00000
 1475.000  13  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 1.88777  0.15780  40.04 1.61567  0.12218  42.75 1.28385  0.09465
  45.32 1.01308  0.07357  47.79 0.87320  0.06327  50.16 0.64226  0.04680
  52.46 0.53031  0.03867  54.68 0.40882  0.03007  56.85 0.33622  0.02503
  58.96 0.27384  0.02089  61.03 0.20654  0.01643  63.06 0.18788  0.01555
  65.05 0.21255  0.01813   0.00 0.00000  0.00000   0.00 0.00000  0.00000
 1525.000  14  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 1.73347  0.14320  40.07 1.68609  0.12832  42.75 1.35609  0.10052
  45.32 1.06554  0.07806  47.79 0.81736  0.05997  50.16 0.68250  0.05009
  52.46 0.55645  0.04097  54.68 0.40935  0.03042  56.85 0.28562  0.02177
  58.96 0.21952  0.01724  61.03 0.16379  0.01356  63.06 0.16201  0.01388
  65.05 0.15661  0.01401  67.01 0.19414  0.01736   0.00 0.00000  0.00000
 1575.000  14  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 1.60995  0.13951  40.04 1.31952  0.10530  42.75 1.16908  0.08976
  45.32 0.90405  0.06824  47.79 0.71242  0.05378  50.16 0.54858  0.04168
  52.46 0.43357  0.03301  54.68 0.30765  0.02384  56.85 0.22217  0.01775
  58.96 0.16502  0.01382  61.03 0.11528  0.01043  63.06 0.10425  0.00992
  65.05 0.09678  0.00996  67.01 0.13654  0.01374   0.00 0.00000  0.00000
 1625.000  14  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 1.62741  0.14000  40.04 1.45477  0.11501  42.75 1.02727  0.07870
  45.32 0.97473  0.07341  47.79 0.75077  0.05644  50.16 0.60086  0.04529
  52.46 0.48105  0.03638  54.68 0.34067  0.02616  56.85 0.22942  0.01821
  58.96 0.16390  0.01356  61.03 0.11342  0.01012  63.06 0.10681  0.00979
  65.05 0.10482  0.01011  67.01 0.10950  0.01092   0.00 0.00000  0.00000
 1675.000  14  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
