1.275	 & 0.025 & 	0.484375	 & 0.015625	 & 0.673891	 & 0.0197419	 & 0.0452323 \\ 
1.275	 & 0.025 & 	0.515625	 & 0.015625	 & 0.673026	 & 0.0181679	 & 0.0451741 \\ 
1.275	 & 0.025 & 	0.546875	 & 0.015625	 & 0.700944	 & 0.0171287	 & 0.047048 \\ 
1.275	 & 0.025 & 	0.578125	 & 0.015625	 & 0.780085	 & 0.0181191	 & 0.0523601 \\ 
1.275	 & 0.025 & 	0.609375	 & 0.015625	 & 0.834301	 & 0.0198798	 & 0.0559991 \\ 
1.275	 & 0.025 & 	0.640625	 & 0.015625	 & 0.796032	 & 0.0198173	 & 0.0534304 \\ 
1.275	 & 0.025 & 	0.671875	 & 0.015625	 & 0.907953	 & 0.0224482	 & 0.0609427 \\ 
1.275	 & 0.025 & 	0.703125	 & 0.015625	 & 0.954801	 & 0.0260267	 & 0.0640871 \\ 
1.275	 & 0.025 & 	0.734375	 & 0.015625	 & 0.99729	 & 0.0323912	 & 0.0669391 \\ 
1.275	 & 0.025 & 	0.765625	 & 0.015625	 & 1.19906	 & 0.0502756	 & 0.0804824 \\ 
1.275	 & 0.025 & 	0.796875	 & 0.015625	 & 1.17715	 & 0.0709938	 & 0.0790115 \\ 











