dc rm1 rm2 rm3 rm4 rm5 rm6 rs1 rs2 rs3 rs4 rs5 rs6
56363 22.9815 35.4596 -8.93882 -22.114 6.01548 39.911 274.657 300.488 312.426 321.397 343.517 364.116
56403 23.5479 19.3908 -23.009 -39.5425 -67.3683 -21.1355 279.292 308.837 323.27 333.829 354.715 377.802
56448 16.3356 0.882378 -17.8954 -27.257 -3.35234 48.1205 281.591 303.539 314.645 334.708 337.078 350.923
56467 21.2075 31.1894 -30.9053 -39.4223 -16.2545 20.8702 286.283 302.34 323.225 333.836 346.308 367.971
56490 27.225 35.7264 -27.326 -30.3397 18.9167 53.4824 279.757 305.348 326.705 329.837 327.016 355.702
56510 25.3891 28.9847 -25.6788 -34.1594 2.63877 47.6788 280.538 306.609 320.812 330.117 337.58 351.517
56530 35.4687 31.063 -11.5875 -11.2922 37.7653 85.5984 284.848 299.057 310.663 319.644 335.66 357.569
56550 30.6244 6.30226 -6.7455 -4.80798 50.6206 98.9392 279.796 299.657 322.276 329.658 331.04 352.354
56573 18.0563 24.9669 -18.458 -46.4028 -28.5243 -5.328 289.158 296.772 317.631 327.131 337.189 361.295
56590 17.123 24.8969 -11.1303 -40.2414 -0.432661 21.939 280.112 298.549 314.942 332.934 336.915 360.47
56620 19.0541 19.5248 -9.4919 -35.7634 -0.1401 20.0679 283.698 309.969 313.178 323.951 339.833 364.272
56640 18.1304 38.7199 -44.9589 -68.6067 -33.6603 -10.681 287.235 304.589 324.415 335.745 350.323 367.062
56660 21.9655 14.938 -31.2893 -56.823 18.0745 37.6777 274.171 300.552 324.372 327.474 339.212 359.317
56680 15.0048 -9.73389 -18.5568 -37.0851 -36.6963 -10.5124 283.87 304.389 320.528 325.09 349.084 361.037
56700 21.0788 -13.7806 -8.80584 -24.4874 0.172028 29.1893 277.819 295.939 311.416 325.827 331.966 356.708
56740 29.8082 31.3014 -6.22273 -12.8357 29.9575 54.7718 276.705 297.401 312.855 317.76 328.386 354.606
56760 23.5938 9.50656 -11.1921 -28.1499 -8.98576 11.9352 279.034 304.489 316.547 325.049 346.227 360.413
56780 28.2175 35.1306 -12.7053 -27.9796 11.3685 31.6824 278.356 308.603 321.49 323.665 343.047 350.792
56800 24.0134 23.1251 -13.6856 -30.3019 -3.04438 21.5009 287.634 304.407 315.408 323.745 345.066 357.899
56821 30.2562 29.9744 -10.6059 -32.4664 -1.90855 14.5432 279.654 303.683 318.65 323.186 339.371 364.139
56841 31.2687 24.0147 -24.7032 -58.4971 -17.2907 -0.888027 282.901 305.36 320.742 334.725 339.164 358.045
56860 20.3943 9.57673 -24.3829 -57.3283 -17.5064 -1.81841 279.392 308.76 315.143 330.892 345.561 357.151
56899 24.0459 23.8499 -14.2004 -39.0497 -1.20424 12.3484 275.853 304.758 320.752 327.948 336.907 352.287
56922 28.8675 28.775 -1.90897 -23.408 52.0573 71.4978 278.761 298.503 322.348 317.861 332.956 345.876
56940 23.1537 9.0186 -5.7521 -25.2502 18.1316 39.9881 281.848 301.092 317.596 319.911 338.495 361.314
#56960 19.7727 37.662 7.77338 -27.9201 24.8142 38.0766 313.41 349.776 321.302 337.427 363.981 363.109
#56980 31.2559 50.6447 0.0851855 -8.99243 35.6248 66.346 316.945 332.074 362.551 346.605 334.776 369.652
57000 27.4457 12.8415 -33.7847 -54.83 -9.12344 4.78696 277.946 306.776 322.367 327.752 334.636 346.988
57020 15.3476 -13.924 -6.96153 -29.3056 40.8467 63.783 270.089 291.2 306.997 316.252 330.234 351.13
57039 26.448 19.1366 -26.3358 -48.1793 2.84832 15.2024 277.775 305.24 318.14 327.719 337.577 366.323
57071 -5.93123 -14.9976 -13.1622 -29.4876 12.8981 29.0994 276.782 292.888 310.838 320.64 328.246 353.792
57095 23.5021 6.01715 37.8203 23.0601 -25.1066 -8.10339 279.649 306.675 315.315 321.114 336.452 351.743
57119 18.1653 10.2729 -3.28838 -22.9471 14.3938 40.7729 290.384 301.287 318.905 326.996 343.327 358.904
57140 -15.3644 21.5004 -30.0413 -43.2293 -12.3426 23.5447 283.685 312.579 323.642 326.456 341.971 351.258
57160 23.7769 -2.39589 -12.0849 -28.4701 -11.0457 29.6349 284.649 306.637 314.875 324.991 339.386 351.076
57180 13.7503 -16.1076 -17.9396 -34.0231 -55.9444 -24.8339 286.195 305.081 312.016 327.179 351.66 368.654
57200 15.2525 -3.1466 -17.1767 -33.2169 -26.0997 6.97673 288.011 306.697 323.731 319.098 346.03 362.057
57220 22.9677 -6.05689 17.8266 2.33734 -14.6421 11.3325 283.79 301.573 304.854 319.617 343.444 364.594
57249 20.3949 4.92381 15.0805 -17.2524 -16.0609 11.4536 282.495 298.877 319.152 330.814 340.567 351.576
57270 2.5446 13.2345 -29.0779 -57.7404 -56.1764 -21.0125 279.863 310.079 327.994 337.012 350.719 358.877
57290 20.1603 -5.53591 -27.4525 -62.0986 -71.9992 -45.7208 285.383 301.695 324.936 333.459 359.335 366.864
57310 23.0688 0.200046 -17.045 -49.5063 -52.8562 -27.6479 287.674 310.038 317.899 333.735 352.127 365.549
